Date, Open, High, Low, Close
2021-02-15,2929.94,2946.22,2929.06,2931.52
2021-02-11,2915.98,2926.34,2914.9,2925.48
2021-02-10,2936.1,2938.21,2919.98,2925.84
2021-02-09,2946.2,2959.66,2924.8,2935.27
2021-02-08,2909.8,2938.15,2908.18,2931.4
2021-02-05,2916.06,2917.59,2903.37,2907.11
2021-02-04,2933.08,2936.59,2884.74,2905.58
2021-02-03,2932.72,2939.35,2927.05,2927.47
2021-02-02,2906.2,2918.85,2902.01,2917.29
2021-02-01,2888.75,2901.78,2873.77,2896.32
2021-01-29,2941.58,2950.75,2887.2,2902.52
2021-01-28,2924.48,2930.75,2911.75,2920.3
2021-01-27,2952.47,2967.78,2948.71,2958.63
2021-01-26,2967.63,2968.98,2935.65,2945.52
2021-01-25,2998.04,3004.97,2971.07,2973.65
2021-01-22,3009.02,3009.13,2981.18,2991.53
2021-01-21,3004.16,3017.15,2997.69,3017.15
2021-01-20,2995.7,3001.14,2985.71,2998.77
2021-01-19,2996.64,3007.99,2990.93,2995.92
2021-01-18,2995.73,2990.4,2990.4,2990.4
2021-01-15,2995.85,3012.53,2991.76,3004.87
2021-01-14,2982.0,3001.34,2979.38,3000.0
2021-01-13,2982.16,2994.79,2977.51,2977.51
2021-01-12,2975.15,2983.66,2968.9,2977.17
2021-01-11,2983.5,2993.16,2971.93,2983.9
2021-01-08,2935.18,2993.19,2933.71,2993.19
2021-01-07,2892.33,2912.7,2884.18,2906.97
2021-01-06,2858.53,2865.04,2852.32,2863.01
2021-01-05,2842.06,2859.68,2832.04,2859.68
2021-01-04,2846.2,2861.21,2836.25,2858.9
2020-12-31,2853.6,2861.61,2843.81,2843.81
2020-12-30,2855.06,2878.13,2846.22,2869.22
2020-12-29,2848.65,2852.65,2840.38,2848.14
2020-12-28,2845.85,2840.14,2840.14,2840.14
2020-12-24,2840.65,2847.8,2834.14,2842.04
2020-12-23,2817.87,2838.45,2805.24,2833.4
2020-12-22,2842.45,2844.82,2803.97,2827.32
2020-12-21,2847.19,2854.61,2831.4,2846.52
2020-12-18,2858.45,2862.93,2845.55,2848.98
2020-12-17,2866.97,2867.11,2849.43,2858.02
2020-12-16,2866.12,2875.48,2862.43,2872.8
2020-12-15,2863.1,2863.97,2841.51,2856.72
2020-12-14,2836.3,2870.44,2835.22,2858.14
2020-12-11,2836.88,2848.97,2818.35,2821.7
2020-12-10,2833.17,2834.79,2820.05,2824.96
2020-12-09,2825.72,2849.16,2825.32,2843.07
2020-12-08,2820.99,2829.51,2817.27,2825.63
2020-12-07,2842.58,2853.23,2824.23,2825.51
2020-12-04,2825.56,2841.46,2819.53,2839.89
2020-12-03,2809.74,2822.4,2792.74,2822.34
2020-12-02,2805.5,2817.33,2796.71,2810.95
2020-12-01,2802.94,2824.54,2793.22,2814.12
2020-11-30,2869.89,2869.89,2797.19,2805.95
2020-11-27,2846.95,2866.34,2845.16,2855.82
2020-11-26,2856.37,2857.48,2839.8,2857.48
2020-11-25,2903.16,2920.55,2858.36,2869.55
2020-11-24,2866.12,2891.63,2864.42,2891.63
2020-11-23,2828.32,2852.27,2825.83,2848.78
2020-11-20,2780.77,2814.13,2779.21,2813.01
2020-11-19,2782.22,2795.06,2766.55,2777.0
2020-11-18,2774.78,2795.67,2774.78,2788.59
2020-11-17,2764.13,2781.58,2764.13,2778.55
2020-11-16,2731.56,2753.44,2724.93,2748.0
2020-11-13,2700.72,2715.92,2685.81,2711.39
2020-11-12,2710.71,2725.47,2695.89,2711.9
2020-11-11,2698.69,2713.28,2673.89,2713.28
2020-11-10,2672.98,2705.0,2662.32,2705.0
2020-11-09,2600.96,2622.98,2600.67,2609.36
2020-11-06,2591.96,2591.96,2562.86,2578.68
2020-11-05,2543.91,2588.62,2541.76,2588.62
2020-11-04,2502.18,2521.14,2489.72,2515.98
2020-11-03,2453.29,2497.22,2453.26,2497.22
2020-11-02,2428.98,2449.02,2423.7,2443.13
